PLR_ID,PLR_NAME,Economic Score,age_pov_pc,homeowner_pc,unemployment_pc
08401241,Blumenviertel,0.98,1,0.99,0.95
08401244,Waßmannsdorfer Chaussee,0.94,0.97,0.85,1
08200725,Mohriner Allee Nord,0.92,0.89,1,0.85
08401242,Zittauer Straße,0.9,1,0.71,0.99
08401243,Alt-Rudow,0.87,0.9,0.89,0.8
08401140,Vogelviertel Nord,0.87,0.87,0.88,0.84
08401139,Vogelviertel Süd,0.86,0.92,0.83,0.83
08200831,Buckow West,0.84,0.88,0.78,0.85
08200729,Britzer Garten,0.83,0.82,0.75,0.93
08401246,Waltersdorfer Chaussee Ost,0.82,0.91,0.69,0.86
08200726,Hufeisensiedlung,0.77,0.86,0.65,0.81
08200832,Buckow Mitte,0.76,0.92,0.62,0.75
08401245,Frauenviertel,0.72,0.9,0.33,0.94
08200833,Buckow Ost,0.69,0.75,0.73,0.59
08100310,Maybachufer,0.68,0.52,0.75,0.77
08300935,Gropiusstadt Süd-West,0.68,0.82,0.54,0.68
08100311,Reuterplatz,0.66,0.42,0.77,0.79
08200623,Park am Buschkrug,0.63,0.8,0.42,0.68
08100416,Alt-Rixdorf,0.57,0.37,0.69,0.63
08200730,Handwerker-Siedlung,0.56,0.85,0.15,0.7
08100415,Ganghoferstraße,0.55,0.4,0.58,0.66
08300934,Gropiusstadt Nord-West,0.55,0.71,0.48,0.45
08200727,Parchimer Allee Süd,0.55,0.74,0.15,0.75
08401138,Goldhähnchenweg,0.54,0.91,0.14,0.58
08200728,Ortolanweg,0.52,0.81,0.01,0.75
08200624,Tempelhofer Weg,0.52,0.66,0.37,0.53
08100313,Bouchéstraße,0.51,0.53,0.39,0.62
08301036,Gropiusstadt Mitte,0.51,0.77,0.25,0.52
08100102,Schillerpromenade Nord,0.51,0.18,0.74,0.61
08100312,Weichselplatz,0.51,0.31,0.53,0.68
08100418,Hertzbergplatz,0.5,0.42,0.43,0.65
08100206,Flughafenstraße,0.49,0.23,0.61,0.62
08100105,Silbersteinstraße,0.48,0.57,0.48,0.39
08100209,Glasower Straße,0.47,0.41,0.62,0.39
08100417,Braunschweiger Straße,0.46,0.3,0.6,0.49
08100208,Körnerpark,0.46,0.26,0.61,0.52
08100103,Schillerpromenade Süd,0.45,0.1,0.65,0.6
08100101,Hasenheide,0.44,0.27,0.49,0.56
08100314,Donaustraße,0.41,0,0.66,0.57
08100520,Weiße Siedlung,0.37,0.3,0.71,0.12
08301037,Gropiusstadt Süd-Ost,0.37,0.69,0,0.42
08200622,Jahnstraße,0.37,0.4,0.46,0.24
08100104,Wartheplatz,0.36,0.15,0.51,0.43
08100419,Treptower Straße Nord,0.36,0.32,0.48,0.27
08100207,Rollberg,0.26,0.25,0.21,0.33
08100521,Schulenburgpark,0.1,0.23,0.06,0
