PLR_ID,PLR_NAME,Infr & Housing Score,buildings_o1980_pc,foodsupply_per_1000,gfz_19_2_mean,pa_dist_mean,playground_area_pc,social_housing_pc,accidents_pc,transp_dist_mean,migr_saldo_pc,migr_saldo_U6_pc
08401245,Frauenviertel,0.62,1,0.49,0.76,0.78,0.89,0.07,0.88,0.18,0.62,0.55
08100416,Alt-Rixdorf,0.61,0.12,0.76,0.55,0.96,0.95,0.12,0.91,0.31,0.87,0.55
08100207,Rollberg,0.57,0.12,0.58,0.42,0.95,1,0.66,0.77,0.19,0.65,0.34
08100103,Schillerpromenade Süd,0.56,0,0.42,0.14,0.92,0.81,0.2,0.65,0.71,0.83,0.88
08401138,Goldhähnchenweg,0.55,0.43,0,0.58,1,0.34,0.83,1,0.05,0.62,0.69
08100101,Hasenheide,0.55,0.01,0.69,0.43,0.86,0.3,0.13,1,0.69,0.65,0.75
08100310,Maybachufer,0.52,0.03,0.79,0.02,0.87,0.33,0.02,0.56,1,0.79,0.77
08100419,Treptower Straße Nord,0.51,0.09,0.44,0.68,0.9,0.77,0.2,0.52,0.06,0.71,0.73
08200623,Park am Buschkrug,0.51,0.19,0.51,0.8,0.85,0.37,0.33,0.47,0.12,0.84,0.58
08100521,Schulenburgpark,0.51,0.31,0.13,0.78,0.87,0.11,0.9,0.32,0.13,0.8,0.71
08200729,Britzer Garten,0.5,0.42,1,0.99,0.54,0.03,0,0.96,0.33,0.57,0.21
08200728,Ortolanweg,0.5,0.38,0.5,0.88,0.74,0.02,0.21,1,0.12,0.35,0.81
08401140,Vogelviertel Nord,0.48,0.58,0,0.93,0.69,0.17,0.1,1,0.21,0.61,0.55
08200725,Mohriner Allee Nord,0.48,0.52,0,0.98,0.74,0,0,0.84,0.28,0.7,0.75
08301037,Gropiusstadt Süd-Ost,0.48,0.15,0.29,0.67,0.82,0.45,1,0.76,0.04,0.45,0.12
08100520,Weiße Siedlung,0.46,0.08,0.54,0.82,0.93,0.16,0,0.69,0.11,0.71,0.61
08100418,Hertzbergplatz,0.46,0,0.19,0.36,0.91,0.29,0.27,0.73,0.21,0.75,0.93
08200624,Tempelhofer Weg,0.46,0.04,0.43,0.75,0.89,0.17,0.36,0.69,0.16,0.58,0.5
08301036,Gropiusstadt Mitte,0.46,0.04,0,0.77,0.82,0.4,0.49,0.77,0.08,0.6,0.58
08200727,Parchimer Allee Süd,0.45,0.01,0.55,0.86,0.77,0.21,0.04,0.81,0.04,0.55,0.66
08100206,Flughafenstraße,0.45,0.02,0.9,0.15,0.89,0.21,0.17,0.2,0.12,0.85,0.95
08100208,Körnerpark,0.44,0.01,0.51,0.17,0.91,0.47,0.09,0.52,0.25,0.72,0.81
08401243,Alt-Rudow,0.43,0.44,0.5,0.98,0.64,0.07,0.01,0.59,0.19,0.51,0.43
08100104,Wartheplatz,0.43,0.03,0.37,0.27,0.87,0.12,0.18,0.47,0.38,0.8,0.83
08200833,Buckow Ost,0.42,0.56,0.07,0.94,0.51,0,0.17,0.76,0.12,0.7,0.4
08401139,Vogelviertel Süd,0.42,0.42,0.15,0.86,0.73,0.03,0.14,0.83,0.05,0.6,0.38
08100415,Ganghoferstraße,0.42,0.06,0.29,0.2,0.91,0.33,0.17,0.09,0.14,1,1
08300935,Gropiusstadt Süd-West,0.42,0.1,0,0.85,0.8,0.14,0.05,0.81,0.2,0.62,0.61
08200730,Handwerker-Siedlung,0.42,0.05,0.56,0.99,0.77,0.05,0.03,0.56,0.36,0.54,0.25
08100311,Reuterplatz,0.42,0,0.68,0.1,0.89,0.12,0.07,0.53,0.25,0.74,0.77
08200622,Jahnstraße,0.41,0.1,0.33,0.71,0.86,0.22,0.1,0.6,0.15,0.45,0.57
08200832,Buckow Mitte,0.4,0.4,0.27,0.92,0.35,0.09,0.19,0.44,0.17,0.78,0.41
08100102,Schillerpromenade Nord,0.4,0.03,0.6,0.26,0.94,0.3,0.03,0,0.28,0.84,0.71
08200726,Hufeisensiedlung,0.4,0.02,0.1,0.91,0.78,0.34,0.17,0.6,0.1,0.57,0.38
08401246,Waltersdorfer Chaussee Ost,0.4,0.61,0,0.99,0.42,0.11,0.04,0.81,0.19,0.61,0.18
08100312,Weichselplatz,0.39,0,0.26,0.22,0.92,0.38,0.15,0.07,0.19,0.86,0.88
08300934,Gropiusstadt Nord-West,0.39,0.15,0.35,0.76,0.82,0.21,0,0.6,0.07,0.57,0.4
08401242,Zittauer Straße,0.39,0.44,0.09,0.99,0.38,0.11,0.05,0.73,0.28,0.56,0.25
08200831,Buckow West,0.37,0.33,0.15,0.97,0.03,0.16,0.06,0.72,0.26,0.66,0.38
08100314,Donaustraße,0.37,0.02,0.9,0,0.84,0,0.07,0.16,0.03,0.77,0.91
08100209,Glasower Straße,0.37,0.04,0.73,0.36,0.84,0.24,0.12,0.28,0.17,0.33,0.56
08100105,Silbersteinstraße,0.37,0.24,0.33,0.76,0.95,0.33,0.04,0.51,0,0,0.5
08100417,Braunschweiger Straße,0.37,0.02,0.38,0.23,0.94,0.25,0.08,0.03,0.15,0.73,0.86
08401241,Blumenviertel,0.33,0.47,0,0.96,0.33,0.03,0,0.53,0.18,0.57,0.24
08401244,Waßmannsdorfer Chaussee,0.3,0.49,0.17,1,0,0.03,0.03,0.64,0.18,0.51,0
08100313,Bouchéstraße,0.3,0.01,0,0.26,0.78,0.07,0.47,0.71,0.01,0.42,0.28
