PLR_ID,PLR_NAME,Community Capital Score,daycare_capac_per_1000_U6,libraries_dist_mean,voter_mean_pc,migr_vol_pc,yrf_capac_per_1000_6_27
08301036,Gropiusstadt Mitte,0.7,0.3,0.92,0.36,0.92,1
08401242,Zittauer Straße,0.62,0.38,0.85,0.77,0.86,0.23
08100207,Rollberg,0.59,0.32,0.97,0.33,0.73,0.6
08401243,Alt-Rudow,0.56,0.21,0.86,0.8,0.82,0.12
08200730,Handwerker-Siedlung,0.55,1,0.62,0.31,0.81,0
08401245,Frauenviertel,0.55,0.24,0.49,1,0.79,0.22
08300935,Gropiusstadt Süd-West,0.54,0.37,0.88,0.53,0.87,0.04
08401246,Waltersdorfer Chaussee Ost,0.51,0.25,0.66,0.73,0.89,0
08401244,Waßmannsdorfer Chaussee,0.5,0.06,0.7,0.86,0.86,0
08100104,Wartheplatz,0.49,0.36,0.97,0.41,0.46,0.26
08100312,Weichselplatz,0.48,0.29,0.94,0.43,0.49,0.23
08300934,Gropiusstadt Nord-West,0.47,0.02,0.9,0.28,0.85,0.28
08100416,Alt-Rixdorf,0.46,0.3,0.83,0.44,0.49,0.26
08100208,Körnerpark,0.46,0.22,1,0.46,0.45,0.16
08200833,Buckow Ost,0.43,0.07,0.73,0.6,0.63,0.13
08100101,Hasenheide,0.43,0.39,0.8,0.58,0.39,0
08301037,Gropiusstadt Süd-Ost,0.43,0.12,0.84,0.35,0.82,0
08200623,Park am Buschkrug,0.42,0.18,0.59,0.23,0.58,0.53
08100102,Schillerpromenade Nord,0.42,0.19,0.98,0.46,0.37,0.1
08401241,Blumenviertel,0.41,0.12,0.65,0.51,0.77,0
08100103,Schillerpromenade Süd,0.41,0.18,0.97,0.46,0.44,0
08100311,Reuterplatz,0.41,0.2,0.85,0.47,0.48,0.05
08100206,Flughafenstraße,0.4,0.11,0.99,0.44,0.39,0.09
08401140,Vogelviertel Nord,0.4,0.28,0.63,0.37,0.73,0
08100314,Donaustraße,0.4,0.19,1,0.4,0.42,0
08100310,Maybachufer,0.4,0.19,0.72,0.4,0.51,0.17
08401139,Vogelviertel Süd,0.39,0.15,0.79,0.26,0.78,0
08100418,Hertzbergplatz,0.39,0.28,0.77,0.45,0.47,0
08200726,Hufeisensiedlung,0.38,0.43,0.36,0.25,0.84,0
08200727,Parchimer Allee Süd,0.37,0.33,0.47,0.22,0.83,0
08100415,Ganghoferstraße,0.37,0.19,0.84,0.4,0.42,0
08100313,Bouchéstraße,0.37,0,0.8,0.34,0.69,0
08100417,Braunschweiger Straße,0.36,0.25,0.74,0.43,0.35,0
08200832,Buckow Mitte,0.35,0.2,0.32,0.45,0.8,0
08200728,Ortolanweg,0.35,0,0.53,0.32,0.91,0
08100105,Silbersteinstraße,0.35,0.38,0.9,0.15,0.32,0
08200831,Buckow West,0.34,0.27,0,0.59,0.83,0
08100521,Schulenburgpark,0.33,0.23,0.31,0.07,0.83,0.21
08401138,Goldhähnchenweg,0.33,0,0.55,0.08,1,0
08100419,Treptower Straße Nord,0.32,0.06,0.71,0.27,0.38,0.18
08100520,Weiße Siedlung,0.32,0.06,0.44,0.2,0.62,0.25
08100209,Glasower Straße,0.32,0.42,0.93,0.15,0,0.07
08200624,Tempelhofer Weg,0.31,0.18,0.74,0,0.64,0
08200622,Jahnstraße,0.27,0.04,0.83,0.14,0.36,0
08200729,Britzer Garten,0.26,0,0.18,0.21,0.89,0
08200725,Mohriner Allee Nord,0.22,0.18,0.12,0,0.8,0
